{ 02 E0 96 18 5F 0C 00 00 1F 00 }, Delta:6.471ms, Position:[6294,3167], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 95 18 5E 0C 00 00 1F 00 }, Delta:7.551ms, Position:[6293,3166], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 94 18 5D 0C 00 00 1F 00 }, Delta:9.251ms, Position:[6292,3165], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 91 18 5E 0C 00 00 1F 00 }, Delta:4.604ms, Position:[6289,3166], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 8F 18 5F 0C 00 00 1F 00 }, Delta:12.248ms, Position:[6287,3167], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 8F 18 60 0C 00 00 1F 00 }, Delta:3.878ms, Position:[6287,3168], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 8F 18 62 0C 00 00 1F 00 }, Delta:8.117ms, Position:[6287,3170], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 8F 18 63 0C 00 00 1E 00 }, Delta:7.888ms, Position:[6287,3171], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 91 18 64 0C 00 00 1F 00 }, Delta:5.926ms, Position:[6289,3172], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 93 18 65 0C 00 00 1E 00 }, Delta:8.098ms, Position:[6291,3173], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 94 18 65 0C 00 00 1F 00 }, Delta:7.944ms, Position:[6292,3173], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 95 18 65 0C 00 00 1E 00 }, Delta:8.016ms, Position:[6293,3173], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 96 18 67 0C 00 00 1E 00 }, Delta:5.984ms, Position:[6294,3175], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 98 18 67 0C 00 00 1E 00 }, Delta:10.821ms, Position:[6296,3175], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 99 18 67 0C 00 00 1E 00 }, Delta:5.167ms, Position:[6297,3175], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 99 18 69 0C 00 00 1E 00 }, Delta:11.369ms, Position:[6297,3177], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 9A 18 6A 0C 00 00 1E 00 }, Delta:2.756ms, Position:[6298,3178], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 9A 18 6C 0C 00 00 1E 00 }, Delta:7.766ms, Position:[6298,3180], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
